,index,int_val,rsq,rsq_adj,log_rsq_adj,slope_pval,log_rsq,log_int_pval,log_slope_val,log_int_val,slope_val,log_slope_pval,int_pval,subj_id
59,(wfpt.17),0.31657460873720283,0.005118616657749264,0.005114319076848672,0.0050887792365224005,2.485532213961324e-260,0.0050930771505337535,0.0,0.05541581461474964,1.1302165849130328,0.053892190109921856,5.014855359397615e-259,0.0,s063
60,(wfpt.18),0.28458208559183273,0.0002514378671178985,0.00024643907431931567,0.00034971941753736413,1.3240297749242143e-12,0.0003547204695293349,0.0,0.015084563135056338,1.153781634699885,0.012992063471649301,3.726848533695767e-17,0.0,s065
61,(wfpt.19),0.32414693960550744,0.005140654916577225,0.0051356176030596945,0.006384963276662825,2.3266811728175008e-223,0.006389994697433954,0.0,0.06869687810932976,1.1120196200973576,0.06406830994064314,2.8391828756418235e-277,0.0,s066
62,(wfpt.2),0.2856901351576611,0.00011504655019012322,0.00011064173185049153,0.00014297233639026796,3.213786444498778e-07,0.0001473770123037177,0.0,0.011566436655646292,1.1693895786197963,0.010080561206928759,7.286911568269942e-09,0.0,s009
63,(wfpt.20),0.4342020174557957,2.449227617740135e-05,1.9808506269813897e-05,1.6151018062071643e-05,0.022211974742103412,2.0849616207851973e-05,0.0,0.0033623318586217133,1.2020133375519642,0.0037137703864477435,0.03516067219911981,0.0,s071
64,(wfpt.21),0.3247232902374307,0.0016695946688002339,0.0016647949572389242,0.001749877784754994,1.43916349271472e-77,0.0017546796960055122,0.0,0.02985605695351848,1.156047838247199,0.02946720083096486,2.192955338444304e-81,0.0,s081
65,(wfpt.22),0.35228853991896814,0.0013521791183784826,0.0013476907732208332,0.0010155867024659315,1.935622654706451e-67,0.0010200768631222212,0.0,0.026627470811334986,1.1704151334190076,0.030347986622896783,2.603989879596161e-51,0.0,s082
66,(wfpt.23),0.3741001496845333,0.00506635541497602,0.005061770425047074,0.0049688396261904355,1.1088970905431886e-241,0.0049734284701624665,0.0,0.054257414622436675,1.140589403599618,0.05352971316699559,4.2200171786574267e-237,0.0,s083
67,(wfpt.24),0.07620811116912685,1.24707284575587e-05,7.72014874061977e-06,5.0714180106492535e-06,0.10518763209422964,9.822010310744922e-06,0.0,-0.0027774192206045578,1.1168052919329918,-0.0031782819171524224,0.15046614408271147,0.0,s084
68,(wfpt.25),0.332130019393849,0.0003063167506052178,0.0003021074785976019,0.0002216343765286677,1.463694491700049e-17,0.00022584402282155303,0.0,0.015137274259668107,1.1755523159744845,0.01681926789886052,2.404392415641136e-13,0.0,s085
69,(wfpt.26),0.40164137721192156,3.353666894923002e-05,2.843474717806327e-05,4.918429225786447e-06,0.01035248629587874,1.0021564513573722e-05,0.0,-0.002843489365358289,1.2065673589177601,-0.00524529576065177,0.16110850814085287,0.0,s086
70,(wfpt.27),0.4635906641250375,0.00729079101504948,0.00728633936432177,0.006112581018620777,0.0,0.006117042013791041,0.0,0.07013087938662942,1.1347599281958551,0.07719274508329937,3.080074943522591e-299,0.0,s089
71,(wfpt.28),0.27122722147978073,0.00044300241532246876,0.00043835326976038314,0.0006091801027029442,1.6648825179792095e-22,0.000613828453717935,0.0,0.025256923587272544,1.1493520372220192,0.021124831350577286,1.487097400181709e-30,0.0,s091
72,(wfpt.29),0.41215659478496025,0.004982799946924077,0.0049783874146619445,0.00302802557298687,5.98723276851198e-247,0.003032447734870103,0.0,0.053836631313849304,1.150424799168253,0.06594891346110751,6.362331240601942e-151,0.0,s092
73,(wfpt.3),0.3241205793739327,1.3392229961106672e-05,9.081905700702997e-06,1.242572584603252e-06,0.07795716161329995,5.553042113581874e-06,0.0,0.00202804633444963,1.191521197879203,0.002998235120852985,0.25636846205711,0.0,s011
74,(wfpt.30),0.4060169840364291,0.002732048085325678,0.0027275355198187468,0.0022249034186037076,1.6703885460715143e-133,0.0022294197503011093,0.0,0.039647592786685115,1.1667184886345496,0.04338478219056727,3.040373286453429e-109,0.0,s093
75,(wfpt.31),0.41617416626158676,0.00021359009478705282,0.0002090865118271612,0.00028866888749456976,5.725037065215068e-12,0.0002931735729591045,0.0,0.015586237567780097,1.186472760568416,0.01357276285718757,7.220239552879452e-16,0.0,s094
76,(wfpt.32),0.35306707696995704,0.001711690236473773,0.0017070469918401,0.0017229203187516529,4.335284170869243e-82,0.0017275643967750165,0.0,0.03555018438779606,1.1565426360718347,0.03544954437978666,8.09942269702409e-83,0.0,s097
77,(wfpt.33),0.4313856869802125,0.0003282250186770197,0.0003237117870678041,0.00023833107483561822,1.4994657675969607e-17,0.00024284868945867455,0.0,0.012279924694443655,1.201483034749259,0.014034224485363327,2.277746513086545e-13,0.0,s098
78,(wfpt.34),0.44927463316442456,0.00043052738186843964,0.0004259103901519401,0.0007648456325479724,4.660006559521426e-22,0.0007694625728439375,0.0,0.0254739606181306,1.1880391410690172,0.019338157493768816,4.0985917851772237e-38,0.0,s103
79,(wfpt.35),0.26556447287154794,0.00016922610386882475,0.00016456484467819443,0.0002136743218462689,1.6902088992755806e-09,0.00021833541727789285,0.0,0.01157470096660553,1.1641525124135195,0.009960238273813758,7.714865854340604e-12,0.0,s106
80,(wfpt.36),0.34291772453799796,0.0012942294818537592,0.0012896058012155098,0.0017348516913260337,8.592727099644326e-63,0.001739473460411478,0.0,0.03892579637856537,1.1506954416746205,0.033148058214510445,9.074113461581452e-84,0.0,s108
81,(wfpt.37),0.21588093282670964,0.0034207127180351238,0.003415383360035107,0.0038733608289208687,2.28229649920176e-141,0.0038786877378305107,0.0,0.059638882168840245,1.0935459294914853,0.0549313901634318,4.6394586580280925e-160,0.0,s110
82,(wfpt.38),0.4598911258501864,6.664918461585234e-05,6.213477206673534e-05,0.00011496349812845086,0.00012189639269287087,0.00011947867101846921,0.0,0.010357743509995066,1.2076546567376458,0.00774483952400476,2.690585425900503e-07,0.0,s111
83,(wfpt.39),0.31620028935063876,0.0012222667031258627,0.0012177473059671318,0.0008528887837790933,9.844854286318277e-61,0.0008574105070813243,0.0,0.023255012573167116,1.1630671341098013,0.027162434937459186,4.009182640022442e-43,0.0,s112
84,(wfpt.4),0.3204299916247639,0.003115973305644726,0.0031116670739421703,0.0020606187759082406,3.893931303496091e-159,0.002064929547795913,0.0,0.04445289173026802,1.1422611716914912,0.05311768612830659,4.484708172620326e-106,0.0,s012
85,(wfpt.40),0.40657384436541966,3.4305838787496157e-06,-1.073945754104244e-06,5.998641320115183e-06,0.3828337832582296,1.0503139094342195e-05,0.0,0.0030903580387684135,1.210345673994204,0.0017375234690976214,0.12676476776460527,0.0,s121
86,(wfpt.41),0.38835751041419586,1.9885441236988655e-06,-4.860851152033163e-06,-5.18689822892604e-06,0.5900137728085936,1.6624992799085803e-06,0.0,-0.0014851444311741596,1.2170878304953188,-0.0013581957817842757,0.6222477784970718,0.0,s128
87,(wfpt.42),0.28456998686956503,0.000683595357841682,0.0006789364966652833,0.0007959474997456528,9.220722429504366e-34,0.000800607097080519,0.0,0.020815312495161702,1.1566848192069918,0.018923282079600465,3.069132423540119e-39,0.0,s129
