,index,slope_val,int_pval,log_int_pval,log_int_val,rsq,int_val,rsq_adj,log_slope_pval,log_rsq,slope_pval,log_rsq_adj,log_slope_val,subj_id
54,(wfpt.52),-0.01918054589288353,0.0,0.0,1.25025096408215,0.00031580580647172507,0.4397899310887153,0.0003046979574730102,1.819863327555541e-05,0.00020408584994702217,9.733794709125463e-08,0.00019297675958784843,-0.016594071978610785,s179
55,(wfpt.53),0.007135121780367459,0.0,0.0,1.2696366840783062,3.102176352254293e-05,0.5667019829850178,1.991075018636934e-05,0.7986999648768957,7.226895565315417e-07,0.09474038766293069,-1.0388660443449993e-05,0.0011705051503480488,s180
56,(wfpt.54),-0.01401249239163508,0.0,0.0,1.2660862040372542,0.00010619087961283302,0.5002705664684742,9.508070150765491e-05,0.004506164210310544,8.963942082229615e-05,0.001991426769835194,7.852905880789685e-05,-0.014595265535220135,s182
57,(wfpt.55),-0.0023308954738565438,0.0,0.0,1.2517207301525661,4.286146804366453e-06,0.4940950239356072,-6.825163600732154e-06,0.3019588775911098,1.1839403751823241e-05,0.5345454213582765,7.281772735900915e-07,-0.004093649570271423,s184
58,(wfpt.56),-0.013077567372040376,0.0,0.0,1.2562452420800145,0.0001264400922537101,0.4795832038969469,0.00011533013914477586,0.00643875405789806,8.247909534997433e-05,0.0007423865111203988,7.136865377466162e-05,-0.011078566993143373,s187
59,(wfpt.57),-0.00019651740697519465,0.0,0.0,1.2258340082200518,4.492033767178327e-08,0.45020570657114006,-1.1191286712897153e-05,0.17715358727991928,2.0464885193471893e-05,0.949584835972566,9.228907585923096e-06,0.004253429060815483,s190
60,(wfpt.58),-0.008740699107382534,0.0,0.0,1.260212117334819,5.518530001691335e-05,0.4803471476201471,4.40745551704147e-05,0.0017357533538802862,0.0001089959301465715,0.025840260275176812,9.788578320923946e-05,-0.013394304993992093,s192
61,(wfpt.59),-0.00023706193571283382,0.0,0.0,1.2398532805341849,3.830226835699335e-08,0.45907579704339796,-1.107305533620817e-05,0.998805179391302,2.4916735341662388e-11,0.9531814369892939,-1.1111333113156263e-05,-6.525418951238565e-06,s196
62,(wfpt.6),0.14899254124622094,0.0,0.0,1.0638195081753008,0.024597414961815,0.4622634821631721,0.024586576914469194,0.0,0.020136688703171424,0.0,0.02012580109109907,0.1576953575398842,s015
63,(wfpt.60),0.003288239903377688,0.0,0.0,1.2331787934979923,1.0759841085450361e-05,0.44806874477274394,-3.5139738829848e-07,0.526274980637504,4.4621015775625494e-06,0.3250885297344278,-6.649206872433311e-06,0.002176500861303876,s198
64,(wfpt.61),-0.00207309183044543,0.0,0.0,1.2529882652843403,3.89144617773951e-06,0.5180266018571638,-7.219868613184133e-06,0.9639364100385478,2.2715549441443272e-08,0.5539879923805751,-1.108864222820749e-05,-0.00016379799215868662,s205
65,(wfpt.62),-0.0018664263078329035,0.0,0.0,1.2236595797855705,4.284110323826695e-06,0.4123412030690595,-7.144673372705412e-06,0.5429616570977518,4.229576800018897e-06,0.5403725360783067,-7.199207519681394e-06,-0.0019082604659801847,s206
66,(wfpt.63),-0.0007914764517831811,0.0,0.0,1.2597324693207526,4.7600630947997047e-07,0.5318702073872327,-1.082367870020029e-05,0.9337592457867604,7.806187973802281e-08,0.8373809633675041,-1.1221627626678554e-05,-0.0003290926538544966,s207
67,(wfpt.64),0.06308170318078908,0.0,0.0,1.19603978757077,0.004976486530718471,0.49801142210514016,0.004965430468211962,3.531047318151396e-56,0.0027672475057382018,1.196837191212057e-99,0.0027561667724638195,0.050388686301961805,s209
68,(wfpt.65),0.03653912253212733,0.0,0.0,1.2644228150760435,0.0015644024578492788,0.6257338205365743,0.0015533084824549404,3.972332003116222e-09,0.00038479489554554824,1.689859461581467e-32,0.00037368781310931354,0.018838972447349746,s212
69,(wfpt.66),0.0029247151628296743,0.0,0.0,1.219694448372592,7.77746350355546e-06,0.4514284288518018,-3.6512802681354373e-06,0.040591535119971524,4.792006403819826e-05,0.40941072945211077,3.649177904962997e-05,0.007675423499700192,s216
70,(wfpt.67),0.003709806491339864,0.0,0.0,1.2311151807505327,1.3013138689732529e-05,0.4406349728238261,1.9019252532892494e-06,0.6534161341175162,2.240285538523956e-06,0.2791635187807142,-8.871047598946191e-06,0.0015716675527962035,s218
71,(wfpt.68),0.016268131741913303,0.0,0.0,1.240597728993211,0.00022768515400073408,0.5126957732850308,0.00021657632586191689,0.0008642255847810792,0.00012330653078618248,5.983635650214672e-06,0.00011219654285909986,0.013087376619747092,s226
72,(wfpt.69),0.027863378181772036,0.0,0.0,1.2436745063315153,0.0008533901945346756,0.5226981644010951,0.000842288318828599,4.754022395109137e-05,0.00018380774167137126,1.8578164160453683e-18,0.00017269842599487717,0.013769518232962547,s233
73,(wfpt.7),0.06323253960299346,0.0,0.0,1.215296634284452,0.005457663899685494,0.5962672836580428,0.005446166034577704,1.3993414624111236e-62,0.0032175960351337185,5.929886918759492e-105,0.0032060721394613356,0.05581681365369463,s017
74,(wfpt.70),0.043890756185647334,0.0,0.0,1.205919287639756,0.0019376842359124513,0.47733429373870867,0.0019265944081856556,1.6671467396256062e-23,0.0011085509916557434,7.484890119588328e-40,0.0010974519511326442,0.035785019167024285,s237
75,(wfpt.71),-0.006264225782783121,0.0,0.0,1.2458221087511727,7.519109375464517e-05,0.48319205797238207,6.408057119966504e-05,0.043744379680910876,4.519150764836777e-05,0.00928450172500678,3.407842909219916e-05,-0.00539916235681498,s238
76,(wfpt.72),-0.0031901755244950476,0.0,0.0,1.2359335670821079,8.052013232284772e-06,0.45020717280083294,-3.0592553290631486e-06,0.5419233219021268,4.133292055175097e-06,0.39461828798529697,-6.978020048453715e-06,-0.002352300267315548,s244
77,(wfpt.73),0.0344305138754052,0.0,0.0,1.2247096083905329,0.0006856059579396501,0.525799888848309,0.0006745022179227567,3.6507974828220203e-09,0.0003866200476989601,3.951379465987434e-15,0.00037551298554261425,0.030903803520841933,s254
