,index,log_rsq,log_int_val,rsq_adj,log_slope_pval,int_val,log_slope_val,slope_pval,int_pval,slope_val,rsq,log_rsq_adj,log_int_pval,subj_id
73,(wfpt.3),1.3895530566188086e-05,1.2277177079508919,-6.273014538926702e-07,0.30732491433943393,0.3968403759568816,-0.004952323389749463,0.32897191043066776,0.0,-0.004490404292784916,1.2706218023628146e-05,5.620269465378414e-07,0.0,s011
74,(wfpt.30),5.9208094835838665e-06,1.2593594626813254,-7.406202235937798e-06,0.5080281528134682,0.5204430906660723,-0.0025932485062610117,0.5014112978672061,0.0,-0.002641227449755498,6.10759398034233e-06,-7.5929892568993296e-06,0.0,s093
75,(wfpt.31),2.855467574613968e-07,1.2153773149578067,-1.3160637426956612e-05,0.883653258674987,0.3702372237432921,-0.0005149827318899625,0.9092995081638428,0.0,-0.0004046491352203592,1.7304916399840664e-07,-1.3048138333582315e-05,0.0,s094
76,(wfpt.32),2.227197214943466e-05,1.2443474997250004,1.48099927015366e-05,0.19621021090583285,0.45042041354011114,-0.006200449501393816,0.14627169523496142,0.0,-0.006670932888894713,2.8143306345818075e-05,8.938580218664782e-06,0.0,s097
77,(wfpt.33),5.39789151460246e-05,1.253824166689155,3.0718870288604094e-05,0.04421341584448602,0.5415628916492955,0.008239994379569768,0.06911726551287627,0.0,0.0072701539674405735,4.405197181167608e-05,4.0645945985740006e-05,0.0,s098
78,(wfpt.34),2.4958250635753743e-05,1.2683444810936615,8.793053927758088e-06,0.17414773136710446,0.5840472353681481,0.004875507134516569,0.19887002931790723,0.0,0.004818252404905945,2.230663123226062e-05,1.1444709164920575e-05,0.0,s103
79,(wfpt.35),3.0814666840406346e-06,1.2031138360783638,-1.0499448762857355e-05,0.6307074300600977,0.3205836378704589,-0.0033726030065037854,0.6447695105011717,0.0,-0.0029872314743230313,2.8342023451477516e-06,-1.0252181126935156e-05,0.0,s106
80,(wfpt.36),8.993108999932886e-06,1.24234835016584,-3.6355830639323017e-06,0.4114996646055109,0.48261936812375955,0.004007401250250573,0.39375081681308843,0.0,0.004237078501555283,9.697976524503105e-06,-4.340459986984513e-06,0.0,s108
81,(wfpt.37),3.8095845932284433e-06,1.2263624685179502,-9.230805666726738e-06,0.5929829583440394,0.4256123134380606,0.002179745500086679,0.5790934485405368,0.0,0.00219936171799847,4.102828525809343e-06,-9.524053509180064e-06,0.0,s110
82,(wfpt.38),1.9491949769911976e-05,1.2610930988080644,2.6357313601677035e-06,0.2297562705841784,0.5109511568726804,-0.0059496620469671295,0.2743184382452922,0.0,-0.004905315892339583,1.614939187288833e-05,5.978334428169418e-06,0.0,s111
