,index,rsq_adj,log_int_val,slope_pval,log_slope_pval,log_rsq,log_rsq_adj,log_slope_val,rsq,int_val,log_int_pval,int_pval,slope_val,subj_id
28,(wfpt.123),-4.50906042481769e-06,1.2544565858205576,0.9108917507985722,0.28286533675341385,5.269976822042111e-06,7.004106130636956e-07,-0.0020709020755623753,5.7191060442995933e-08,0.566499425746388,0.0,0.0,-0.00020869816139715898,s430
29,(wfpt.124),5.388740962120053e-06,1.2906734207435488,0.14202598452811083,0.07786050881553695,1.4495746787468455e-05,9.833288031058096e-06,-0.0038992326614561623,1.005074223592306e-05,0.6628501608754948,0.0,0.0,-0.0029113692290101195,s441
30,(wfpt.125),-3.6790490871574377e-06,1.2308651122168188,0.6624049666587419,0.012501333289122925,2.8356672595375443e-05,2.381120231531586e-05,0.005320370128223998,8.664428425841919e-07,0.4886097943626472,0.0,0.0,0.000913444326492573,s449
31,(wfpt.126),0.020191381664052432,1.164169785006426,0.0,0.0,0.01226425858064506,0.01225972764118044,0.12607475613060204,0.02019587621961605,0.691631253450312,0.0,0.0,0.13702605927501788,s451
32,(wfpt.127),0.0006019694845027512,1.1521956071107282,8.296793357684823e-31,8.583338080258972e-67,0.0013620324298393438,0.0013574663718921576,0.029970461761024823,0.0006065225714438904,0.4034827568548741,0.0,0.0,0.020509672580564076,s453
33,(wfpt.128),-2.4184401457016946e-06,1.2431976714046613,0.49005306018202177,0.0009716758931578791,5.028434413500982e-05,4.566307730968777e-05,0.006332022928934053,2.2005300041039177e-06,0.5737286073501741,0.0,0.0,0.0013853205255223992,s456
34,(wfpt.129),0.00022549966745144534,1.1524706542652134,1.7797621877065218e-12,5.703834004174897e-26,0.0005162980126022232,0.0005116509371134725,0.015558405473718052,0.00023012827452983942,0.31791325274636273,0.0,0.0,0.011450468763308796,s467
35,(wfpt.13),0.00012441965054932336,1.2605445926408594,1.0665412750106621e-07,0.5019742133927139,2.058296098561563e-06,-2.5079670999961223e-06,0.0014239975166781597,0.00012898531331639873,0.5500199173948289,0.0,0.0,0.01110873180802107,s042
36,(wfpt.130),0.000514811460719633,1.259541948287356,1.1278402794504125e-26,6.77352001575015e-07,0.00011217309590338953,0.00010762798595886913,0.011375087531462463,0.0005193545958636081,0.5903349155271315,0.0,0.0,0.02275837282166844,s469
37,(wfpt.131),-1.6297438667489672e-06,1.2493640396995735,0.4211298171603537,0.3472112666012005,4.08202315571593e-06,-5.375997795820098e-07,0.0019327986585035185,2.9892226400818345e-06,0.5469650554463787,0.0,0.0,-0.0016493436158337982,s471
38,(wfpt.132),9.446042970862045e-05,1.2863824997779294,3.1305996700857545e-06,0.9931243228796984,3.3832803225664065e-10,-4.555574105724602e-06,1.8998872976636397e-05,9.901582877447357e-05,0.6388334561622894,0.0,0.0,0.009680366532811747,s473
