,index,log_int_pval,rsq_adj,rsq,log_slope_pval,int_val,log_rsq,log_rsq_adj,slope_val,log_slope_val,int_pval,log_int_val,slope_pval,subj_id
93,(wfpt.48),0.0,0.0003429340438950712,0.0003710941911092558,0.009938955176682033,1.0466492935039409,0.00018748133440216197,0.00015927389982273166,-0.01734866130744218,-0.014324616189109258,0.0,1.3829506972710626,0.0002836541011006402,s165
94,(wfpt.49),0.0,0.00010847434196659123,0.00013664109386546386,0.29668517009595136,0.8854297877676857,3.068391216520805e-05,2.5094132334313457e-06,-0.011193028965566282,-0.005606081483320878,0.0,1.3487700788614998,0.02763413581222559,s168
95,(wfpt.5),0.0,0.00011866750134903459,0.0001472363556734857,0.013804053546372248,0.6714262301511752,0.0001736187136660572,0.00014498598130585627,0.012647587521246045,0.018980322293004788,0.0,1.2058561948531998,0.023202455164640142,s014
96,(wfpt.50),0.0,-2.4671876925896896e-06,2.570268940782494e-05,0.7116134847047593,0.8087464547589117,3.851227384776834e-06,-2.4327203317797697e-05,-0.004877632630946836,0.0019032109879639388,0.0,1.3127115160489002,0.3394802968015227,s170
97,(wfpt.51),0.0,9.717182550617043e-05,0.00012533889579480206,0.2339216497903322,0.7724853370142689,3.9922436739114886e-05,1.1746610377838529e-05,-0.010797658145357884,-0.006256682001631554,0.0,1.3168747749335599,0.0349115424787428,s173
98,(wfpt.52),0.0,-1.8221269180385136e-05,9.949051709590151e-06,0.4497145498161176,0.9204390226879795,1.609596751772635e-05,-1.2074180209875607e-05,0.002733978911405828,-0.003976109532200241,0.0,1.367108220316199,0.5523251335980663,s179
99,(wfpt.53),0.0,-2.0074501169364822e-05,8.095871925739573e-06,0.1339602629322401,1.180668448963462,6.329324475651266e-05,3.5114106902378595e-05,0.0025766144522948696,0.006228457631348489,0.0,1.412577642770652,0.5919015791491349,s180
100,(wfpt.54),0.0,7.496196887946116e-05,0.00010312966481551555,0.0022063518412599654,0.7645146341828019,0.00026393341605757126,0.00023576786973888986,0.010442887921106087,0.01689742808437211,0.0,1.2889797276732244,0.05569905391543754,s182
101,(wfpt.55),0.0,5.571958779815311e-06,3.37416094190468e-05,0.5706028320460994,0.8504568973200877,9.065436934241333e-06,-1.9116023288967554e-05,0.006154080801499815,0.00429670625067519,0.0,1.3178238188630387,0.27376924377077577,s184
102,(wfpt.56),0.0,-2.7915680172574397e-05,2.5491380695186194e-07,0.734856549652773,0.7081868262746686,3.2313616038504023e-06,-2.494073577730127e-05,0.0005375484424869593,-0.0019686797128626093,0.0,1.2929216320777561,0.9242153806865292,s187
103,(wfpt.57),0.0,0.0032341357469771737,0.003262214449595735,8.771050831632038e-45,0.5729161992321234,0.005541936321095342,0.005513903676594212,0.06159348739826667,0.0756553495677036,0.0,1.1544185918471626,4.7775880982624296e-27,s190
104,(wfpt.58),0.0,-4.019150152689832e-07,2.7767903906905644e-05,0.2403037130054543,0.711459323970596,3.889213676866454e-05,1.0686080470945214e-05,0.005973624686387893,0.011714314050682748,0.0,1.2103273908127672,0.3207944162544924,s192
105,(wfpt.59),0.0,-1.588022845200321e-05,1.2290026491279527e-05,0.02722971054743675,0.9189697986883298,0.00013963104682535032,0.00011099816111648231,0.004154665973245242,0.010361582513176924,0.0,1.3392486990652013,0.50892930525467,s196
106,(wfpt.6),0.0,1.1895711475418125e-05,4.00651839758126e-05,0.25966692939809527,0.8634608462888695,3.582279306102443e-05,7.62857936353889e-06,-0.005913928946336406,-0.005819658975419253,0.0,1.3301337970644354,0.23303467403156367,s015
107,(wfpt.60),0.0,2.8584380479035332e-05,5.67533828628175e-05,1.1977866711452947e-05,1.1421289555834435,0.0005405633220081363,0.0005123682352140557,0.006807048977581924,0.025692834936915328,0.0,1.3552776531720512,0.15578612565355177,s198
108,(wfpt.61),0.0,5.068537128172235e-05,7.885375108485082e-05,0.022327061199982838,0.5829247330213446,0.00014706577941148158,0.0001188953532930137,0.009358265720344048,0.01349425597066904,0.0,1.2282202600570997,0.09431009469914681,s205
109,(wfpt.62),0.0,2.0557417529487587e-05,4.872664603128296e-05,0.16078335630642102,0.8851657586717266,5.542200829589117e-05,2.724503078266327e-05,-0.006094766127264853,-0.006772535356144587,0.0,1.3519186792422075,0.18844713785717318,s206
110,(wfpt.63),0.0,9.472383915354321e-06,3.764192468036498e-05,0.7645779705511494,0.7695670324036369,2.5265133098972825e-06,-2.564401667748406e-05,0.005342301927349632,-0.0012234743927325206,0.0,1.3258336403902016,0.24770179180328764,s207
111,(wfpt.64),0.0,8.720432171149817e-05,0.00011537167278274918,0.12064262801818101,1.0828863531850836,6.786810205761107e-05,3.969623830890612e-05,-0.010890338814885287,-0.007885744161985887,0.0,1.4018772838342328,0.042993893335813535,s209
112,(wfpt.65),0.0,3.260074025146498e-05,6.0769629495194266e-05,0.7088151846643092,0.9617004655822157,3.988702417911938e-06,-2.4611212105174474e-05,0.00847537257243018,0.00174503995678496,0.0,1.3700358155386931,0.14189978738842202,s212
113,(wfpt.66),0.0,-1.5985902285908793e-05,1.2184355634214938e-05,0.1882113557307994,0.9401477337550309,4.878692628362824e-05,2.0612937410846577e-05,0.0032547573023231015,0.005863472445221967,0.0,1.3510786948594533,0.5107565703633546,s216
