,index,log_rsq_adj,slope_val,log_rsq,log_slope_val,log_int_val,log_int_pval,slope_pval,log_slope_pval,rsq_adj,int_val,int_pval,rsq,subj_id
53,(wfpt.146),7.139968341329794e-05,0.021004416255408977,9.223196325891525e-05,0.013134731396476515,1.2650314902169981,0.0,7.99486177327751e-05,0.03537239818897704,0.00030329328663825095,0.6019589351207035,0.0,0.00032412073526655316,s509
54,(wfpt.147),0.00036152948721202005,0.03258529399479823,0.0003823557225608454,0.022497496180041543,1.250656705574115,0.0,1.0360649806888989e-11,1.8327677610237885e-05,0.0009425021363823616,0.5828644037784612,0.0,0.0009633162678821527,s510
55,(wfpt.148),0.0001164336955418177,0.017147856887447653,0.0001372650371593842,0.01271337780380178,1.2669598318948534,0.0,0.00020651084976868955,0.010262054463076644,0.000266039220966241,0.61064756984153,0.0,0.00028686744573702683,s551
56,(wfpt.149),-2.02166095948364e-05,0.023932962107957513,1.2901265359355207e-06,0.0016274473310903884,1.360103675801134,0.0,7.42084441637411e-07,0.8065174257938601,0.0005053328340270946,0.9055194359990089,0.0,0.000526827805255814,s556
57,(wfpt.15),4.679355096526283e-05,0.013553547851478536,6.762634344936735e-05,0.00996943843402276,1.2408870926544542,0.0,0.008399998307125584,0.07159776059867237,0.0001238772650786757,0.5005948607438211,0.0,0.00014470845161862478,s060
58,(wfpt.16),0.005866146158314156,0.09403803798719394,0.005886857711759785,0.08853522979344797,1.205467272510462,0.0,5.42550254330687e-102,1.3708821944168935e-63,0.00951243528842749,0.6928369290066683,0.0,0.00953307087593358,s062
59,(wfpt.17),0.002705085201819668,0.060726964690164004,0.0027258626120738594,0.06208293151362687,1.194274851014149,0.0,8.975072088342423e-37,2.4596098457965954e-30,0.003316754354234619,0.5420021077352704,0.0,0.003337519021116009,s063
60,(wfpt.18),0.0026479040498361694,0.024734853157981043,0.0026691740881374937,0.041165044081111685,1.1871879649538895,0.0,2.6846420125877633e-10,4.3295492168473187e-29,0.0008271816280576161,0.540167513874533,0.0,0.000848441076521933,s065
61,(wfpt.19),0.003296798778817611,0.08393003614790033,0.00331756472671485,0.07246170489893797,1.2482806468097387,0.0,1.8611696352948917e-86,1.4603168137681257e-36,0.008038428649045692,0.7894365554425166,0.0,0.008059094945663259,s066
62,(wfpt.2),0.003669522239407308,0.05090229225657737,0.00369072121125269,0.05053052741080727,1.2675417622788714,0.0,1.3120163890976852e-40,1.108156211631073e-39,0.0037594804828761097,0.7642562046321946,0.0,0.003780677540675681,s009
63,(wfpt.20),-1.9980908647632134e-06,0.003416305417723784,1.9279000096572574e-05,0.0035937820969193027,1.378658904399051,0.0,0.3512847569927481,0.3411583747012179,-2.790960527576658e-06,0.9907243289684615,0.0,1.8486147303820033e-05,s071
64,(wfpt.21),0.005406132381039375,0.08713223226141312,0.005426853518305075,0.08834904183872794,1.1951590391327906,0.0,2.5366784047797002e-82,9.46827440972853e-59,0.007645883457913394,0.6615036168393656,0.0,0.007666557932726192,s081
65,(wfpt.22),0.00031562815939500943,0.02021256996269319,0.00033645535104143143,0.0203011089991057,1.2720925205447096,0.0,1.4013352065928002e-05,5.846505105943851e-05,0.00037218620190782037,0.6566226590774504,0.0,0.0003930122152371318,s082
66,(wfpt.23),1.073057668021793e-05,0.006243854073088308,3.178342557019764e-05,0.007099668345685782,1.2621293252271415,0.0,0.24395371687263337,0.2191913948364738,7.529249068660704e-06,0.5901219840169767,0.0,2.8582165356505485e-05,s083
67,(wfpt.24),7.801437853782733e-05,0.02730267876035254,9.88465205744582e-05,0.010812638440867842,1.2606339433902003,0.0,1.0795361547886091e-09,0.0293900375292841,0.000753415018254211,0.5793791874897348,0.0,0.000774233089151033,s084
68,(wfpt.25),0.0003983287109803335,0.01709572416122255,0.0004191541796626508,0.016920856077651536,1.2863624442819075,0.0,7.728396166383516e-06,7.263445318600731e-06,0.0003958574810222215,0.6897011759262057,0.0,0.00041668300118957724,s085
69,(wfpt.26),4.6253569496723657e-07,0.005997967300199721,2.2936960629493797e-05,-0.005536599523193558,1.3686113677759122,0.0,0.1678494872141596,0.3123868377651858,2.02721346429513e-05,0.9257519242946867,0.0,4.2744094189584025e-05,s086
70,(wfpt.27),9.073406124149308e-05,-0.006675424611720551,0.0001117869987284914,-0.011460165086015047,1.3498439625347762,0.0,0.13751046340234857,0.02121001965113999,2.5382490366321342e-05,0.8335458047175457,0.0,4.64350307884942e-05,s089
71,(wfpt.28),0.006198531838656485,0.06123899959596488,0.006219236467256195,0.06276761496394045,1.2218372117135106,0.0,3.0927257433491605e-65,4.3631002226296276e-67,0.006022656075283739,0.6428848361819874,0.0,0.0060433643680382065,s091
72,(wfpt.29),9.283614989563649e-05,-0.012932232474138668,0.0001141125811632282,-0.011122437156915965,1.2995787873987819,0.0,0.004129854265173971,0.020568718857344848,0.00015373766126935973,0.656156635059993,0.0,0.0001750114386336321,s092
73,(wfpt.3),0.009163958500839064,0.10809831491700589,0.009184601348429466,0.09488615865379563,1.1646806437424737,0.0,6.569914732930609e-141,2.563143210057559e-98,0.0131972088793465,0.5586401135486186,0.0,0.013217767699136851,s011
74,(wfpt.30),-4.01702806884785e-06,-0.004597652229241812,1.6816822990928237e-05,-0.004476552109133267,1.2968344796662474,0.0,0.3144735770266065,0.3689575990910853,2.4614282712054347e-07,0.6445309126512163,0.0,2.107990506905466e-05,s093
75,(wfpt.31),0.00013034850484994198,0.021906450030791412,0.00015117955656951398,0.01354531375910397,1.2367281776516976,0.0,5.572853603410753e-06,0.007063345828240269,0.00040888760074508923,0.4984350409055808,0.0,0.00042971284944604005,s094
76,(wfpt.32),0.01787235587735958,0.09831903968574221,0.01789281729622494,0.10093131652736764,1.1776880452225003,0.0,6.457646692983511e-187,1.8014733602136937e-190,0.017537747772777057,0.6379851938752223,0.0,0.017558216162789853,s097
77,(wfpt.33),-4.8594583033079175e-06,0.004716045005960815,1.619549189069147e-05,0.004323150419221676,1.3207558262682386,0.0,0.2648642450542317,0.38046873278238547,5.119711521284209e-06,0.7874259682693647,0.0,2.6172678537217386e-05,s098
78,(wfpt.34),0.0011690835092110774,0.050341834707022276,0.001190111971210106,0.03773082745703623,1.268150329560215,0.0,1.5019968565657867e-29,5.4481560988450226e-14,0.0026581142907794453,0.7078349995723805,0.0,0.0026791114041020414,s103
79,(wfpt.35),0.00018371862117827487,0.02402420641462592,0.00020499221327530126,0.01419640183453657,1.2675505669533287,0.0,3.8983612384945785e-08,0.0019091417054655775,0.0006211037218473159,0.6130159598659316,0.0,0.0006423675550412122,s106
80,(wfpt.36),4.279039880983326e-06,0.017392895565066915,2.5112718102460185e-05,0.007395070533987247,1.3113128376056202,0.0,0.000918006655666079,0.2722524515201185,0.00020803216504894362,0.7412716864743855,0.0,0.00022886159832524733,s108
81,(wfpt.37),-1.6293219381235957e-05,0.00587380643403916,4.5408874380648e-06,0.0020283947989628535,1.2523920951029393,0.0,0.17427339101397407,0.6406050413453832,1.762190126008978e-05,0.5297432995221518,0.0,3.845530149959586e-05,s110
82,(wfpt.38),4.023540086772748e-05,-0.014527840978394255,6.174176194395642e-05,-0.008188598611748607,1.291803824214016,0.0,0.0016574507304420488,0.09020333130287624,0.00019127880468239322,0.6504693454604304,0.0,0.00021278052990647556,s111
83,(wfpt.39),0.01619620683398404,0.1006227355368636,0.016216703173348668,0.10396681121460677,1.1731195480072627,0.0,4.275920066204172e-171,1.1209056497315797e-172,0.016047108574652635,0.6358487643041097,0.0,0.01606760802029572,s112
