,index,log_int_pval,log_int_val,slope_val,rsq_adj,rsq,log_rsq_adj,int_val,log_slope_val,int_pval,slope_pval,log_rsq,log_slope_pval,subj_id
51,(wfpt.144),0.0,1.2753008997007633,-0.007320163520765869,4.71154056507217e-05,6.298792560499589e-05,0.00025522483714879307,0.5200670040928135,-0.01684333608016057,0.0,0.046367124789964895,0.0002710943056264403,3.5831924783167324e-05,s509
52,(wfpt.145),0.0,1.0939911716562203,0.11341815546095312,0.015357451109788811,0.01537295753585688,0.009346159028323364,0.32100384411962424,0.0971146865714809,0.0,6.191994080004344e-216,0.009361760121899265,6.641966766404592e-132,s510
53,(wfpt.146),0.0,1.115509404571805,0.07821203660788684,0.011827319730803532,0.011843005260419481,0.008388474779178812,0.3372853542363301,0.07985276714346243,0.0,3.072867069095096e-165,0.008404214894501716,1.216333434397534e-117,s551
54,(wfpt.147),0.0,1.1732170909858919,0.04203708184507201,0.0024633546010295326,0.00248026228836995,0.0031490231622276488,0.478838576248554,0.044831751061574485,0.0,1.0037392249491986e-33,0.0031659370020369337,1.5238343898032047e-42,s556
55,(wfpt.15),0.0,1.1078571060069702,0.12213609136433987,0.016559240920078655,0.01657472842002483,0.011725482431226175,0.4364874125810888,0.11424849698188617,0.0,8.629946327665235e-233,0.011741046054552062,4.138311003313315e-165,s060
56,(wfpt.16),0.0,1.2709663539826876,0.028950974341259702,0.000761141997404402,0.0007768782902279892,0.00016390172220015486,0.6308559487991394,0.016673033506548307,0.0,2.1424355435368446e-12,0.00017964742053055982,0.0007312116058406439,s062
57,(wfpt.17),0.0,1.250169955117036,-0.030150128145864766,0.0057741442508403296,0.005791435436004466,0.002580761621468697,0.4190716668980981,-0.02272534400518548,0.0,1.318499469166798e-74,0.0025981585697948395,2.6589838618185175e-34,s063
58,(wfpt.18),0.0,1.2251177494300245,0.0011262006391441466,-1.91848575594733e-05,1.868621142375737e-06,1.7496021426310904e-05,0.49649827338019215,0.0050233150255408025,0.0,0.7657660300765307,3.857535496987197e-05,0.17613301462431716,s065
59,(wfpt.19),0.0,1.2534869155171944,0.0020448762959122094,-1.1802822438067295e-05,3.945642936598048e-06,1.5521044829047703e-05,0.5521094208578413,0.0063283214413561925,0.0,0.616695836979804,3.1269079899809427e-05,0.15880805215387103,s066
60,(wfpt.2),0.0,1.2148873142023349,-0.0017266530485417022,-1.271892803544894e-05,3.541705778764559e-06,2.840673213921896e-05,0.35304455993034956,-0.006110332459417606,0.0,0.6407164103691554,4.466669723257599e-05,0.09744004536704695,s009
61,(wfpt.20),0.0,1.3043443172987088,-0.028298349799611745,0.0014299311172866203,0.0014461682929950426,0.0006925462760156709,0.6214444011734449,-0.022308097065965107,0.0,3.947916197067563e-21,0.0007087986131555368,4.0360357812873047e-11,s071
