,index,log_slope_val,slope_val,log_slope_pval,log_rsq_adj,rsq,slope_pval,int_pval,rsq_adj,log_int_val,int_val,log_rsq,log_int_pval,subj_id
46,(wfpt.14),0.022160211394971856,0.024656054579079097,4.062571088563229e-07,0.00011772422950506733,0.00022060606265339455,1.0561074254219948e-11,0.0,0.00021583380041734213,1.2397044559015407,0.5443397407249629,0.0001224969600468473,0.0,s049
47,(wfpt.140),0.002769914176910991,0.002357193777750527,0.3373632411179045,-3.7981176004286965e-07,3.996334509759336e-06,0.36019198536113717,0.0,-7.769616727770767e-07,1.2357917447106133,0.4580236971770279,4.393482526787729e-06,0.0,s501
48,(wfpt.141),0.023038581292524802,0.024288097728658156,7.540354742931776e-13,0.00023996602029885405,0.0003460175174980762,1.528281826320208e-17,0.0,0.0003412572151024751,1.220518971282376,0.48147598462118746,0.0002447268050358442,0.0,s502
49,(wfpt.142),0.036200101830508896,0.037202313827445585,1.1509805967835896e-35,0.0007349268696843492,0.0009118488334325381,1.4418297542107896e-43,0.0,0.0009070912254973695,1.1929136992983729,0.43963314254533015,0.0007396852974536072,0.0,s504
50,(wfpt.143),0.001137917558555271,0.001367357380193709,0.626391736341205,-3.963825420560951e-06,2.063460431744879e-06,0.5285329394967846,0.0,-3.131388016219816e-06,1.235916535886549,0.48665691958823976,1.231135299484265e-06,0.0,s505
51,(wfpt.15),0.010745570717410583,0.013120624014546077,1.576821747868365e-05,8.44104257512468e-05,0.0001445189031852312,3.884511876737258e-08,0.0,0.00013973485988771905,1.2308651166904157,0.4819234669293241,8.91947337602339e-05,0.0,s060
52,(wfpt.16),-0.0037289023879705247,-0.002753376976674783,0.26721786970715083,1.1025324028191008e-06,3.891506920261634e-06,0.366568933845581,0.0,-8.817897627633187e-07,1.261721088796084,0.5259711734431892,5.875819614087341e-06,0.0,s062
53,(wfpt.17),-0.0006085852917045546,-0.0008490759210062263,0.7499800508191863,-4.57241158913213e-06,9.78712089705347e-07,0.6609971599314065,0.0,-4.110393251322009e-06,1.1894334166658842,0.31964145655426873,5.167997008115321e-07,0.0,s063
54,(wfpt.18),-0.00032154580173175164,-0.00012078851544636347,0.9214853147585229,-4.7956168141016775e-06,1.1776156716436503e-08,0.9606700628273672,0.0,-4.830885700579657e-06,1.2806760632773724,0.616772942147877,4.704487244211464e-08,0.0,s065
55,(wfpt.19),0.0017410595378192142,0.0019505957058949725,0.5267513181433143,-2.881483291528042e-06,2.9389368073617916e-06,0.4343016107284481,0.0,-1.8687875988909752e-06,1.2743081573128676,0.6047126811797262,1.9262459836077994e-06,0.0,s066
56,(wfpt.2),0.006333934081158704,0.006516231394144414,0.019742078818709704,2.1268918348971155e-05,3.7110788205341194e-05,0.005408113243429921,0.0,3.2314757120066595e-05,1.2974309712715903,0.6925718266493289,2.6065002412090088e-05,0.0,s009
