,index,rsq,log_slope_pval,log_rsq_adj,rsq_adj,log_rsq,log_slope_val,log_int_val,slope_pval,log_int_pval,slope_val,int_pval,int_val,subj_id
24,(wfpt.12),4.8873995560305694e-05,0.09668326226275598,4.956698510638624e-05,2.0704771209523187e-05,7.77369835011088e-05,-0.008097568537967538,1.347289000791598,0.18778034397698481,0.0,-0.006354578460884329,0.0,0.8393416843825908,s034
25,(wfpt.120),0.00019007595073838868,0.0467635622376907,8.321094211594104e-05,0.0001619107041315182,0.00011137840567998492,0.008331166587960771,1.3467540295111462,0.009386006999200034,0.0,0.011446508215708938,0.0,0.8947337680597682,s425
26,(wfpt.121),1.1310241820883249e-07,0.46288058775362495,-1.2991297376085953e-05,-2.8057495556232936e-05,1.5185226004299501e-05,0.004428463932274241,1.3558237714875765,0.9494775530612115,0.0,-0.0003026465109066288,0.0,0.9499105410513016,s427
27,(wfpt.122),0.00621794338788384,2.202815440788947e-59,0.0073861895156440704,0.006189947949926333,0.0074141591346945646,0.08261779901809913,1.0997181874245392,4.453661570561753e-50,0.0,0.07796837862039763,0.0,0.40033290157918255,s430
28,(wfpt.123),2.125800358410146e-06,0.96858458578889,-2.8568739263601373e-05,-2.644720021893754e-05,4.438144429741442e-08,0.00019159606296871752,1.3841687998434975,0.7850380482402468,0.0,-0.001335797165007278,0.0,1.0984195782286255,s441
29,(wfpt.124),0.023245100836397636,3.2237574394599233e-97,0.013761042692180814,0.023216371061141272,0.013792326044249181,0.13518704492648898,0.8576994343567335,6.574965418399296e-176,0.0,0.17607070105717004,0.3327044716551839,0.00961031764660699,s442
30,(wfpt.125),0.0003193438857622688,0.005219957935194817,0.0001916014942087152,0.0002911822807107889,0.00021976749129315465,0.008966176190682226,1.35426207371715,0.000759485115040601,0.0,0.011976192486693803,0.0,0.9187489724136058,s449
31,(wfpt.126),4.441347108863347e-06,0.7472006167748373,-2.52464459458146e-05,-2.3729128936444965e-05,2.9272474318942088e-06,-0.0018351611995367847,1.3888703341515454,0.6913228207488498,0.0,-0.002127474055330614,0.0,1.0768805462860147,s451
32,(wfpt.127),0.0006668414244882515,2.967653145157819e-07,0.0007121481154745979,0.0006386896086514326,0.0007403177002941463,0.031897963350225225,1.1617024947727974,1.1381187304859436e-06,0.0,0.026429758517957334,0.0,0.48190617148671344,s453
33,(wfpt.128),7.089442977115112e-06,0.9442295893751758,-2.8491027227461885e-05,-2.148341577368207e-05,1.4011372051481175e-07,0.00038214608371994405,1.298966887266543,0.6184064503279094,0.0,-0.002757205459913515,0.0,0.8838813474444162,s456
34,(wfpt.129),2.4938650719064093e-05,0.05041405088044547,7.967509198236744e-05,-2.8399775755527656e-06,0.00010784979823508234,-0.010978422162461341,1.2865861188630963,0.3433883503037811,0.0,-0.006174901201703159,0.0,0.5981548899071287,s467
35,(wfpt.13),0.0001311217154542632,0.004327806408230808,0.00020139045735756422,0.00010295480807109847,0.0002295887484661252,0.01532465202448783,1.2531796292945199,0.030966870985909525,0.0,0.011514857249539876,0.0,0.722913384490421,s042
36,(wfpt.130),4.396428687658549e-06,0.17277684237032398,2.4190466685114487e-05,-2.3774048623081967e-05,5.235959284455305e-05,0.009459764796314014,1.260780238267189,0.6928077927227174,0.0,-0.0024762067002517046,0.0,0.6440151824333418,s469
