,index,int_val,slope_pval,log_slope_val,log_slope_pval,rsq,rsq_adj,log_rsq_adj,log_int_val,log_int_pval,int_pval,log_rsq,slope_val,subj_id
37,(wfpt.131),0.44541592298678484,0.30208093802457825,0.004415696221136878,0.36077696910508583,1.4200174361156392e-05,8.666748034791283e-07,-2.1974063926233356e-06,1.2316237592738568,0.0,0.0,1.1136134019928967e-05,0.0045956188381353815,s469
38,(wfpt.132),0.5221040985176159,0.9803356005749294,-7.950136885059855e-05,0.9828330892956401,8.100697224122655e-09,-1.332558809319373e-05,-1.3327515415939573e-05,1.2582025970794863,0.0,0.0,6.173400013409491e-09,-9.825272299838171e-05,s471
39,(wfpt.133),0.5380941025995273,0.08834813550360586,-0.00532245671045716,0.17095225905113065,3.872343738042794e-05,2.5390264808411445e-05,1.166147029396658e-05,1.2673391760794979,0.0,0.0,2.4994825919111285e-05,-0.0062873547357474805,s473
40,(wfpt.134),0.4336078837281407,0.32119591731459796,0.0039742595009026535,0.30957904545742654,1.3121291832285387e-05,-2.1222211077365216e-07,4.331365835996692e-07,1.2286520764618478,0.0,0.0,1.3766641921764133e-05,0.0036852411349509377,s477
41,(wfpt.135),0.547532564945127,0.49087767068838906,-0.0016317701537585478,0.6960097243496145,6.328216011541876e-06,-7.005388508396493e-06,-1.129817873435357e-05,1.2648425166842985,0.0,0.0,2.0354830234659005e-06,-0.002762977792742802,s481
42,(wfpt.136),0.583319402083171,0.6154473303192165,-0.003151667516613034,0.36414464569182947,3.3643518337900247e-06,-9.969292205314062e-06,-2.35258728853438e-06,1.2784910590170362,0.0,0.0,1.0980955193251596e-05,-0.0017485272672929967,s484
43,(wfpt.137),0.5500017192264606,0.018807743920796708,0.011322756514073258,0.06050350520171269,7.408435460609653e-05,6.066216990785467e-05,3.387361074536077e-05,1.2508029684574096,0.0,0.0,4.72961550264106e-05,0.011278067478465912,s489
44,(wfpt.138),0.48114104730526425,0.6980816856173898,0.0010914620031923492,0.810659047235839,2.0064004134789926e-06,-1.132726173214138e-05,-1.2568365298060158e-05,1.2451193985406248,0.0,0.0,7.653133958784863e-07,0.0016509954560559995,s492
45,(wfpt.139),0.5456350994569084,0.40164099824541566,-0.0030271948337572616,0.42409389890603366,9.379038902634917e-06,-3.954524938398762e-06,-4.8140908222027434e-06,1.2680400501432683,0.0,0.0,8.519484479885264e-06,-0.003176485433609455,s495
46,(wfpt.14),0.41866431318869207,0.24377026944075103,0.0064441722927909995,0.1976972715392372,1.811587423317107e-05,4.782426886285052e-06,8.791157215748413e-06,1.2195245665597723,0.0,0.0,2.2124551112168156e-05,0.005311003322817078,s049
47,(wfpt.140),0.4245863695504343,0.5213297200834031,-0.0033546011473916167,0.4523808857549688,5.483659453409118e-06,-7.849956327410368e-06,-5.8043046842204404e-06,1.2333879887540269,0.0,0.0,7.529283820972843e-06,-0.002899857694163617,s500
48,(wfpt.141),0.49492663459611513,0.6497969110114095,0.0004866441610914521,0.918777925292362,2.748838058730385e-06,-1.0584814187364344e-05,-1.3195035247770548e-05,1.246430253375905,0.0,0.0,1.3865180181760195e-07,0.002060157229143354,s501
49,(wfpt.142),0.44201220776633937,0.700824533935966,-0.0015054668993658843,0.6602932712512677,1.9682707876889083e-06,-1.1365391866302588e-05,-1.0758004772570828e-05,1.237382435725345,0.0,0.0,2.5756497828988145e-06,-0.0013118592865923864,s502
50,(wfpt.143),0.38734214611580653,0.7137384825493255,-0.0014201667168969763,0.6794086559948436,1.7943445185242268e-06,-1.1539320454501123e-05,-1.1056355039285037e-05,1.221500728961146,0.0,0.0,2.277303494224725e-06,-0.0012754957376186935,s504
51,(wfpt.144),0.4983274552445958,0.6860634008752886,-2.090179811054839e-05,0.9961562976376797,2.193092891067394e-06,-1.1230056816469158e-05,-1.342286762562317e-05,1.2466192333672852,0.0,0.0,3.115159241673382e-10,-0.0016783613798518069,s505
52,(wfpt.145),0.4471021484066283,0.16774408890898307,-0.004731766734787958,0.1721476136085247,2.537371618260842e-05,1.2040365609533588e-05,1.152237729906691e-05,1.2425765255876111,0.0,0.0,2.4855734778728156e-05,-0.004820425288329251,s507
53,(wfpt.146),0.45634142901629016,0.3613788755969406,0.003869932090712406,0.3567783616607554,1.1108252368163818e-05,-2.2252884162021758e-06,-2.0105395239777835e-06,1.2350231479664504,0.0,0.0,1.1322998397012007e-05,0.0036582949164366296,s508
54,(wfpt.147),0.40337356009385156,0.8799449657113547,-0.0005817055625330012,0.8942463782229977,3.0418041352398006e-07,-1.3029504428940797e-05,-1.3098062207728134e-05,1.225112269241118,0.0,0.0,2.356235488942815e-07,-0.0006184949039244958,s509
55,(wfpt.148),0.42846186830353755,0.3482899444625852,-0.004752100698451112,0.31768262996111035,1.1729359432610664e-05,-1.6041730701576995e-06,-2.0312216131301852e-08,1.2367635080495827,0.0,0.0,1.331319916808571e-05,-0.004255571848397646,s510
56,(wfpt.149),0.4690602481623898,0.9227810285034969,-0.0009178227258172886,0.8223599600374436,1.2527961135155863e-07,-1.3208407616538409e-05,-1.2661590506501952e-05,1.2446006804822927,0.0,0.0,6.720894304423908e-07,-0.00041231565631308755,s551
57,(wfpt.15),0.41419693198707963,0.5695275153006392,0.002716187533308694,0.5181698834140741,4.313117213827766e-06,-9.020514174729044e-06,-7.76631876742151e-06,1.2244997412597878,0.0,0.0,5.56729589828997e-06,0.0023257606519102663,s060
58,(wfpt.150),0.6352901050808207,0.10116293244583133,0.005677073209398028,0.15862155332137406,3.582873045315793e-05,2.249551928401594e-05,1.3164774461227324e-05,1.2818484505211023,0.0,0.0,2.6498110041961453e-05,0.006248955349463794,s556
59,(wfpt.16),0.4733241131337895,0.09885731734989982,-0.006533033412859008,0.12474474986039369,3.7314034774471594e-05,2.3615540487464948e-05,1.85857677474921e-05,1.248063041957746,0.0,0.0,3.2284330936493966e-05,-0.006630484186316895,s062
60,(wfpt.17),0.42627386578641036,0.822231737270282,0.0008594846679409983,0.881730398990295,1.0096314405627638e-06,-1.8991148397873303e-05,-1.9558083251824954e-05,1.229687238408303,0.0,0.0,4.427079255409083e-07,0.001238971488175609,s063
61,(wfpt.18),0.4103919449651213,0.07973934197269712,0.007930379797564276,0.13728883891645155,4.234823953785938e-05,2.855533970946844e-05,1.6663892424828575e-05,1.2084097510728473,0.0,0.0,3.0456956275459746e-05,0.007852261902455727,s065
62,(wfpt.19),0.44804721084290755,0.8205395907179704,-0.0004894161808547091,0.9045133715509207,6.861744310526774e-07,-1.2647505318152952e-05,-1.3141802031713112e-05,1.2366884602390613,0.0,0.0,1.918843079984356e-07,-0.0009025063265227615,s066
63,(wfpt.2),0.3814473708686591,0.016481717790602195,0.008304719880368119,0.016757109238151293,7.66761421727713e-05,6.334347565029042e-05,6.29554417459488e-05,1.2088916879568667,0.0,0.0,7.628811344229103e-05,0.008393930560007047,s009
