,index,slope_val,slope_pval,rsq_adj,rsq,int_val,int_pval,log_int_val,log_rsq_adj,log_int_pval,log_slope_val,log_slope_pval,log_rsq,subj_id
47,(wfpt.140),0.04565405950269641,3.796504337008004e-18,0.0015656874517064878,0.0015867075639730555,0.6975710417747618,0.0,1.2567803119471652,0.0008765733744249271,0.0,0.042338171358478185,6.53546948604551e-11,0.0008976079946617643,s500
48,(wfpt.141),0.06325884121168403,1.2814773297413384e-36,0.003302053910294367,0.0033228188834414363,0.5539114485655332,0.0,1.2182388517812501,0.0015606645911059314,0.0,0.045519063522237974,2.885193268690224e-18,0.0015814658439529117,s501
49,(wfpt.142),0.009127611732866497,0.05334795991887545,5.693897647696122e-05,7.777155759358667e-05,0.6932080684042297,0.0,1.3078537644170851,-1.6689908697964384e-05,0.0,-0.002431286750967321,0.6556005190320038,4.1442063858365685e-06,s502
50,(wfpt.143),0.012543081833849577,0.0037356260387701183,0.00015433099129058547,0.00017516154336472134,0.5426219852381062,0.0,1.2493810027945362,9.420648699842715e-05,0.0,0.010508241546915481,0.018780194152455455,0.00011503829169245972,s504
51,(wfpt.144),0.01056741730324014,0.010969138547656557,0.00012292817396086786,0.00014539782657840838,0.7105836454070615,0.0,1.293677295031153,5.628370552956952e-06,0.0,0.005198415279509004,0.2634871256470454,2.8108236833634948e-05,s505
52,(wfpt.145),0.024260426916015276,1.0250081690380315e-08,0.0006621747102378839,0.0006829946820140487,0.6234062744555526,0.0,1.258847198754797,0.00054805906555222,0.0,0.023742926258168928,1.730749420304442e-07,0.0005688814147871701,s507
53,(wfpt.146),0.037107397486437654,5.827945974184606e-17,0.0014523768264643744,0.0014733993242680432,0.702654121472,0.0,1.2773564819969114,0.0005547638175629199,0.0,0.026888819016943996,1.691348267110979e-07,0.0005758052128803648,s508
54,(wfpt.147),-0.018609030062009323,0.00014683722210222025,0.00027939962466672075,0.00030022757108993936,0.5390609171721341,0.0,1.2774289043145575,0.00023119939455151783,0.0,-0.01830259062161163,0.0005046903005481289,0.00025202834516713235,s509
55,(wfpt.148),0.011046903138030969,0.028734133310160673,7.965350143068761e-05,0.00010070489928115656,0.5016517129547183,0.0,1.2475371392400083,-1.2116663251848792e-05,0.0,0.0035123011649429055,0.5147143820052946,8.936666642811453e-06,s510
56,(wfpt.149),0.003102673631156162,0.5171182341564944,-1.2091164817151778e-05,8.742854457510774e-06,0.5248616518783844,0.0,1.2580561575969929,-1.9667909255671745e-05,0.0,-0.0012267732682519905,0.8129697194895531,1.1662678709445373e-06,s551
57,(wfpt.15),-0.0033777784938970063,0.5204409549607725,-1.2357770392767975e-05,8.695564577831938e-06,0.5968393609622946,0.0,1.2889020412948986,2.6597619878776513e-05,0.0,-0.009167913233848766,0.13247012246089276,4.765013471874635e-05,s060
58,(wfpt.150),0.12080014449203269,4.878971350037538e-267,0.02612904653779813,0.02615021810573359,0.8225414833446443,0.0,1.196766279594382,0.02648052702200554,0.0,0.12567798927383023,1.2181952162629853e-270,0.026501691409000272,s556
59,(wfpt.16),-0.0018031414236725028,0.716954541478305,-1.8480926075481463e-05,2.796515591985127e-06,0.6732522238977284,0.0,1.30531683524792,1.8444465937794696e-05,0.0,-0.007573298671633019,0.1718385275435004,3.972112194183808e-05,s062
60,(wfpt.17),0.01725772517748492,0.00018304385447838996,0.0002707612671427606,0.000291589393535574,0.6807979019137274,0.0,1.288362488684981,8.360451017541681e-05,0.0,0.011587145928886627,0.0251583370381409,0.00010443653574854217,s063
61,(wfpt.18),0.033961821017377054,7.808403758237753e-24,0.0021787095277151503,0.0022004017664697395,0.418480734466943,0.0,1.1618436703273067,0.004005972651956458,0.0,0.04159011254357797,3.806549166358353e-42,0.004027692689189233,s065
62,(wfpt.19),0.006972879934581351,0.18354753126361695,1.6183559750526655e-05,3.723629383844962e-05,0.6816531468462461,0.0,1.305287334571561,9.491109903558836e-07,0.0,-0.0063479487160242615,0.30664770925027524,2.2002165810275365e-05,s066
63,(wfpt.2),0.045890878498652095,9.206589087316508e-21,0.0017969200280699704,0.0018177163588262157,0.5524187985165393,0.0,1.2370725156228666,0.0005539156246709975,0.0,0.0275346272747833,1.4964916057688756e-07,0.0005747378518917712,s009
64,(wfpt.20),0.024411583226287902,8.13581646426803e-10,0.0007648995839478756,0.00078571741557798,0.699109234303772,0.0,1.284050392152671,0.0004391259897199573,0.0,0.02049744549861951,2.613081555550041e-06,0.0004599506084412841,s071
65,(wfpt.21),0.06353806758809141,6.990031260174791e-57,0.005228524441556193,0.005249249279064339,0.6066153211723793,0.0,1.2149767037760046,0.003281514437725286,0.0,0.05977338827738567,2.107770419704991e-36,0.003302279838786948,s081
