,index,rsq_adj,slope_val,int_pval,log_slope_pval,log_int_pval,int_val,log_slope_val,slope_pval,log_int_val,log_rsq_adj,log_rsq,rsq,subj_id,sub_id
0,wfpt,2.7877230597717073e-05,-0.008073421386963589,0.0,0.05981575254784333,0.0,0.6234852789652273,-0.009787190975604945,0.06641325682191794,1.2971377492460363,2.991216892966886e-05,4.167666130983072e-05,3.9641746918617216e-05,0,s089
0,wfpt,-1.1744961930570952e-05,0.00021029679868558426,0.0,0.9316391214502484,0.0,0.38722904224847,0.00047493333681625227,0.9670953058289236,1.2191972525799204,-1.1678406441228972e-05,8.657524563915331e-08,2.002053922645075e-08,0,s091
0,wfpt,-1.0361449565232661e-05,0.0014222971355374132,0.0,0.5341039279538302,0.0,0.475276555857175,0.002692929975764844,0.729799848856292,1.2389714650260473,-7.216835325341009e-06,4.548093871736825e-06,1.4035166278070221e-06,0,s092
0,wfpt,-3.838903364528079e-06,-0.0031072083035612336,0.0,0.4980594294382641,0.0,0.5822836550657148,-0.002735260911740915,0.41176747516062595,1.2749632479142678,-6.363963898525782e-06,5.400955264689422e-06,7.925986091783521e-06,0,s093
0,wfpt,1.9328085964387398e-05,0.006862596679330106,0.0,0.07292809006545632,0.0,0.44644326837912796,0.008344278221916732,0.1040172469408552,1.2271730249344457,2.6069445487886256e-05,3.7833983077106836e-05,3.109270286461019e-05,0,s094
0,wfpt,-7.861571328149353e-06,-0.0022689337700165643,0.0,0.4794573751291087,0.0,0.437635818229553,-0.0029457664448690746,0.5646146226010845,1.2375129679087458,-5.8812601662072694e-06,5.883653318106141e-06,3.90336545419423e-06,0,s097
0,wfpt,-3.665730249347021e-06,0.0028108625578628786,0.0,0.33541709731073854,0.0,0.7132688330456911,0.0034058732733720986,0.40545898875781916,1.2959829161732608,-8.58578362850082e-07,1.1046335488207326e-05,8.239217020533651e-06,0,s098
0,wfpt,1.8173907590735006e-05,0.00585776074014132,0.0,0.10636557401018805,0.0,0.4965456707613405,0.005921028627737239,0.11066219765145846,1.2442216930644845,1.891118279628845e-05,3.067580460136554e-05,2.9938538069762544e-05,0,s103
0,wfpt,-1.0245473953007789e-05,0.0019245188952057308,0.0,0.7319823609738841,0.0,0.3099148638660926,0.002034770982495413,0.7193118341209008,1.1932820904638524,-1.0384935953400287e-05,1.3800305159739068e-06,1.5194908755677972e-06,0,s106
0,wfpt,-1.1465608032557029e-05,-0.0006623557913042963,0.0,0.8460486827841484,0.0,0.41810218844005925,-0.0008300758993731172,0.873261244961749,1.2292349956606743,-1.1321446217182896e-05,4.435312700445948e-07,2.9937115075817644e-07,0,s108
0,wfpt,-1.0995905091348845e-05,-0.0009257742963303776,0.0,0.8423080398073726,0.0,0.3564870010762665,-0.0007383226849497493,0.7982029711812912,1.2097724138579915,-1.129934061072646e-05,4.6563661648679755e-07,7.690685660532992e-07,0,s110
0,wfpt,-1.1762045436514157e-05,-5.670098664911898e-05,0.0,0.992154724061399,0.0,0.4968341430410012,-3.458309888328126e-05,0.9873935042744914,1.2513765720915715,-1.1763845211065771e-05,1.1374809982811485e-09,2.937234344635442e-09,0,s111
0,wfpt,-8.18062004359632e-06,0.002158471988841869,0.0,0.6113203385064325,0.0,0.3908712530849623,0.0020180351596821994,0.5809763885313386,1.2180516842803932,-8.726547680693031e-06,3.0383992779547953e-06,3.584320492300286e-06,0,s112
0,wfpt,-1.0193084928111773e-05,0.0012016999867314557,0.0,0.7902715868867298,0.0,0.5878920760642412,0.000932426335532574,0.7147222144089198,1.275719007525916,-1.0932788360618062e-05,8.321845541559014e-07,1.571879284179012e-06,0,s121
0,wfpt,-1.0025169649541255e-05,0.0015010375421644958,0.0,0.7556450855911533,0.0,0.4500819184963607,0.0012596993954138713,0.7005713778459528,1.235275768499518,-1.0625544630160633e-05,1.139424669838185e-06,1.7397925872186804e-06,0,s128
0,wfpt,-8.912135194272253e-07,-0.004214944779880415,0.0,0.24375176453299022,0.0,0.43725809390469816,-0.005367070032430792,0.33636483730482325,1.2398025729910136,4.221009405336318e-06,1.5985804038054496e-05,1.0873641257846955e-05,0,s129
0,wfpt,-1.1145133687051612e-05,-0.0009564560711045368,0.0,0.7192970376715551,0.0,0.4667864260499134,-0.0016511854050369132,0.8184553260151297,1.2441013859544412,-1.0245306669709464e-05,1.5196581568677203e-06,6.198417259462019e-07,0,s142
0,wfpt,4.312898954306199e-06,0.004558283718915268,0.0,0.26539637069101324,0.0,0.34723639786638427,0.004741443665702595,0.2424012783698337,1.1999657501272782,2.82830677822421e-06,1.459311779583583e-05,1.6077692505889196e-05,0,s145
0,wfpt,2.2008902554548904e-05,-0.006730567006576399,0.0,0.08975994595804318,0.0,0.5553008496448153,-0.0063767119313132975,0.09020503834260869,1.2743292964406496,2.2102583410177346e-05,3.3867167668955034e-05,3.377348791544499e-05,0,s149
0,wfpt,5.323847639404633e-07,-0.0033644649124669954,0.0,0.32088883098016496,0.0,0.5137544923536965,-0.0032690475935487906,0.3066059979617323,1.2596726121324595,-1.725690752518716e-07,1.1592277247229887e-05,1.2297222792723161e-05,0,s161
0,wfpt,2.6141419218861373e-05,0.006924543470728816,0.0,0.08325158854376562,0.0,0.4986842814537465,0.007832764271461571,0.07265602736612967,1.2413756320705258,2.3532925107150326e-05,3.529749253816661e-05,3.790595596131485e-05,0,s163
0,wfpt,-1.012278505463371e-05,-0.001603619715063015,0.0,0.6501970051972791,0.0,0.5221454380574316,-0.0021793078028002413,0.7037087087492766,1.2594495190059884,-9.400752186472516e-06,2.4338186456196453e-06,1.7117943224009835e-06,0,s165
0,wfpt,1.7115560319358458e-05,0.006574730056689848,0.0,0.08630530743038352,0.0,0.4299916439344956,0.007800354480795572,0.11716754494490782,1.223060924171837,2.2847278927984327e-05,3.461185442554804e-05,2.888020324964824e-05,0,s168
0,wfpt,5.4667295994792475e-05,-0.008124027132724731,0.0,0.009719016438950054,0.0,0.5546597038450236,-0.00952403854332554,0.017763090939522854,1.2702889044778116,6.728608105910361e-05,7.91197443439362e-05,6.65011086161682e-05,0,s170
